ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
29	107	0	0	0.000000	1.476636	1.476636	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
30	126	0	0	0.000000	1.269841	1.269841	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
31	100	0	0	0.000000	1.420000	1.420000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
32	103	0	0	0.000000	2.048544	2.048544	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
33	95	0	0	0.000000	1.473684	1.473684	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
34	129	0	0	0.000000	1.100775	1.100775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
35	130	0	0	0.000000	1.092308	1.092308	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
36	70	0	0	0.000000	1.514286	1.514286	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
37	70	0	0	0.000000	1.100000	1.100000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
38	120	0	0	0.000000	2.175000	2.175000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
39	126	0	0	0.000000	1.111111	1.111111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
40	147	0	0	0.000000	1.462585	1.462585	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
41	108	0	0	0.000000	2.231481	2.231481	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
42	105	0	0	0.000000	1.333333	1.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
43	72	0	0	0.000000	2.472222	2.472222	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
44	83	0	0	0.000000	2.180723	2.180723	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
45	72	0	0	0.000000	1.027778	1.027778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
46	70	0	0	0.000000	1.571429	1.571429	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
47	70	0	0	0.000000	1.128571	1.128571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
48	72	0	0	0.000000	1.888889	1.888889	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
49	67	0	0	0.000000	1.522388	1.522388	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
50	70	0	0	0.000000	1.842857	1.842857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
51	72	0	0	0.000000	2.819444	2.819444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
52	71	0	0	0.000000	2.267606	1.830986	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
53	70	0	0	0.000000	1.242857	1.242857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
54	65	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
55	84	0	0	0.000000	1.714286	1.714286	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
56	547	0	0	0.000000	2.773309	2.773309	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
57	80	2	0	0.000000	1.350000	1.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
58	119	0	0	0.000000	1.487395	1.487395	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
59	72	0	0	0.000000	1.361111	1.361111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
60	71	0	0	0.000000	1.985915	1.985915	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
